# sma[pix]	flux[DN]	flux_err[DN]
   1.00	 4.13994002e-01	 0.00000000e+00
   2.00	 2.96893214e-01	 0.00000000e+00
   3.00	 1.70586231e-01	 0.00000000e+00
   4.00	 7.85281128e-02	 0.00000000e+00
   5.00	 2.89630189e-02	 0.00000000e+00
   6.00	 8.55854574e-03	 0.00000000e+00
   7.00	 2.02625270e-03	 0.00000000e+00
   8.00	 3.84348082e-04	 0.00000000e+00
   9.00	 5.84108210e-05	 0.00000000e+00
  10.00	 7.11212507e-06	 0.00000000e+00
  11.00	 6.93813813e-07	 0.00000000e+00
  12.00	 5.42280490e-08	 0.00000000e+00
  13.00	 3.39580309e-09	 0.00000000e+00
  14.00	 1.70372109e-10	 0.00000000e+00
  15.00	 6.84844516e-12	 0.00000000e+00
