# sma[pix]	flux[DN]	flux_err[DN]
   1.00	 4.49864721e-02	 9.71886488e-04
   2.00	 2.38174466e-02	 7.15679766e-04
   3.00	 8.42638005e-03	 2.99756172e-04
   4.00	 2.34921966e-03	 8.01387290e-05
   5.00	 7.54852622e-04	 1.76113837e-05
   6.00	 3.46587884e-04	 4.24888166e-06
   7.00	 2.14990953e-04	 1.62184552e-06
   8.00	 1.52659620e-04	 7.95139789e-07
   9.00	 1.17051757e-04	 4.78364002e-07
  10.00	 9.27155400e-05	 3.12219888e-07
  11.00	 7.59017343e-05	 2.11390849e-07
  12.00	 6.39466405e-05	 1.48640086e-07
  13.00	 5.44076425e-05	 1.17465692e-07
  14.00	 4.70166706e-05	 8.31454416e-08
  15.00	 4.14580904e-05	 6.35959815e-08
  16.00	 3.70077498e-05	 4.82969478e-08
  17.00	 3.34304779e-05	 3.92429950e-08
  18.00	 3.05045770e-05	 3.21474479e-08
  19.00	 2.72963026e-05	 4.16908849e-08
  20.00	 2.35893022e-05	 3.89020567e-08
  21.00	 2.03683427e-05	 3.13975691e-08
  22.00	 1.77199193e-05	 2.54495472e-08
  23.00	 1.54991597e-05	 2.08312769e-08
  24.00	 1.36398955e-05	 1.71980428e-08
  25.00	 1.20690550e-05	 1.42688834e-08
  26.00	 1.07284828e-05	 1.19677503e-08
  27.00	 9.57730474e-06	 1.01020273e-08
  28.00	 8.58655490e-06	 8.58488764e-09
  29.00	 7.72998204e-06	 7.32824824e-09
  30.00	 6.98018428e-06	 6.28874405e-09
  31.00	 6.32626560e-06	 5.42393157e-09
  32.00	 5.75156932e-06	 4.70198954e-09
  33.00	 5.24483273e-06	 4.09511215e-09
  34.00	 4.79426630e-06	 3.57864350e-09
  35.00	 4.39458629e-06	 3.13624909e-09
  36.00	 4.03781695e-06	 2.76245185e-09
  37.00	 3.71865288e-06	 2.44322107e-09
  38.00	 3.43262233e-06	 2.16747038e-09
  39.00	 3.17552522e-06	 1.92892596e-09
  40.00	 2.94330512e-06	 1.72128056e-09
  41.00	 2.73300154e-06	 1.53980487e-09
  42.00	 2.54264530e-06	 1.38170550e-09
  43.00	 2.36922368e-06	 1.24257640e-09
  44.00	 2.21125713e-06	 1.12078331e-09
  45.00	 2.06699997e-06	 1.01160021e-09
  46.00	 1.93534511e-06	 9.16482665e-10
  47.00	 1.81427191e-06	 8.32313225e-10
  48.00	 1.70321366e-06	 7.57074412e-10
  49.00	 1.60100430e-06	 6.90098908e-10
  50.00	 1.50676055e-06	 6.30075880e-10
  51.00	 1.41965993e-06	 5.76553834e-10
  52.00	 1.33931725e-06	 5.28225561e-10
  53.00	 1.26501770e-06	 4.84748104e-10
  54.00	 1.19592727e-06	 4.45650069e-10
  55.00	 1.13189874e-06	 4.09770620e-10
  56.00	 1.07235840e-06	 3.78072163e-10
  57.00	 1.01694233e-06	 3.49266118e-10
  58.00	 9.65188956e-07	 3.23038310e-10
  59.00	 9.16957847e-07	 2.99074741e-10
  60.00	 8.71873854e-07	 2.77324751e-10
  61.00	 8.29668358e-07	 2.57465623e-10
  62.00	 7.90173553e-07	 2.39303731e-10
  63.00	 7.53108688e-07	 2.22713609e-10
  64.00	 7.18327157e-07	 2.07424539e-10
  65.00	 6.85631435e-07	 1.93200010e-10
  66.00	 6.54977529e-07	 1.80429102e-10
  67.00	 6.26076280e-07	 1.68715393e-10
  68.00	 5.98855292e-07	 1.57845324e-10
  69.00	 5.73187771e-07	 1.47814769e-10
  70.00	 5.49004381e-07	 1.38567231e-10
  71.00	 5.26116022e-07	 1.29983561e-10
  72.00	 5.04499328e-07	 1.22078629e-10
  73.00	 4.84064446e-07	 1.14732318e-10
  74.00	 4.64709197e-07	 1.07920179e-10
  75.00	 4.46358644e-07	 1.01478045e-10
  76.00	 4.28969825e-07	 9.56302766e-11
  77.00	 4.12469826e-07	 9.01988167e-11
  78.00	 3.96771904e-07	 8.51192139e-11
  79.00	 3.81882878e-07	 8.03996171e-11
